и,and
в (во),"(+pr) in; (+a) into, to"
не,not
на,"(+pr) on, at; (+a) onto, to"
я,I
он,he
что,"what, that"
с (со),"(+inst) with; (+g) from, off"
это,"this, that, it"
быть (i) (pres: есть),"to be; there is, there are"
а,"and, but (slight contrast)"
"весь (f вся, n всё, pl все)",all
они,they
она,she
как,"how, as, like"
мы,we
к (ко) (+d),"towards, to"
у (+g),by; at (used in ‘have’ construction)
вы,you (polite/pl)
"этот (f эта, n это, pl эти)",this
за,(+a) for; (+inst) behind
"тот (f та, n то, pl те)",that
но,but
ты,you (familiar)
по (+d),along; around; according to
из (изо) (+g),"out of, from"
о (об/обо) (+pr),"about, concerning"
свой,one’s own
так,so
"один (f одна, n одно)",one
вот,"here, there (pointing)"
который,"which, who"
наш,our
только,only
ещё,"still, yet"
от (+g),from
такой,such
мочь/с-,to be able
говорить/по- (с +inst),"to speak; to have a talk, talk (to)"
говорить/сказать,to say
для (+g),for
уже,already
знать (i) (+a),to know
да,"yes; and, but"
какой,what (kind of)
когда,when
другой,"different, other"
первый,first
чтобы,in order to
его,"his, its"
год,year
кто,who
дело,"matter, business"
нет,no; (+g) there is no
её,her
очень,very
большой,large
новый,new
становиться/стать (+inst),to become; to stand; p: begin
работа,work
сейчас,"now, right now"
время (n),time
человек (pl люди),person
идти/пойти,to go (on foot)
если,if
два (f две) ,two
мой,my
жизнь (f),life
до (+g),up to; until
где,where
каждый,"each, every"
самый,"the very, most"
хотеть/за-,to want
здесь,here
надо,it is necessary
люди (pl),people
теперь,now
дом,house
раз,once; a time
день (m),day
или,or
город,"town, city"
там,there
слово,word
глаз,eye
потом,"then, next"
видеть/у- (+a),to see
их,their
под (+inst),under
даже,even
думать/по-,to think
хорошо,well; it is good
можно,it is possible
тут,here (like здесь)
тысяча,thousand
ли,whether [question word]
вода,water
ничто/ничего (a/g),nothing
много (+g),"much, many, a lot"
рука,hand; arm
себя,self [(a) pronoun]
молодой,young
тоже,too
спрашивать/спросить (+a о +pr),to ask (s.o. about sth)
без (+g),without
делать/с- (+a),"to do, make"
три,three
всё,all; all the time
то,that; then
жить/по-,to live; p: live for a while
труд,labour
"сам (f сама, n само, pl сами)",self
хороший,good
второй,second
через (+a),"across, via, after"
место,place
после (+g),after
страна,country
двадцать,twenty
"должен (f должна, n должно, pl должны)","ought, obliged, must"
больше,more
ваш,your
дверь (f),door
друг (pl друзья),friend
машина,machine; car
комната,room
учиться (i),to study
над (+inst),above
голова,head
почему,why
земля,"earth, land"
стол,table
давать/дать (+a +d),to give (sth to s.o.)
перед (+inst),"in front of, before"
тогда,"then, at that time"
сидеть/по-,to sit (p: sit for a while)
мальчик,boy
девушка,girl
лето (g pl лет),summer; (after numbers) years
сегодня,today
сторона,side
совсем,completely
маленький,small
несколько (+g),"a few, some"
вдруг,suddenly
ни,not a
лицо,face; person
конечно,of course
народ,(the) people
начинать/начать,to begin
пять,five
ведь,you know (expecting agreement)
вопрос,question
писать/на- (+a),to write
письмо,letter
при (+pr),in the presence/time of; attached to
мать (f),mother
нужно,(it is) necessary
смотреть/по-,to watch; (на +a) look (at)
сила,"strength, force"
вместе,together
выходить/выйти,to go out
любить/по- (+a),"to like, love; p: to fall in love with"
дорога,road
старый,old
улица,street
решать/решить (+inf/+a),to decide; solve
книга,book
всегда,always
голос,voice; vote
значить (i),to mean
сразу,at once
лишь,only (=только)
минута,minute
снова,again
окно,window
бы,would (conditional particle)
уходить/уйти,to leave (on foot)
девятьсот,nine hundred
последний,last
проходить/пройти,"to go through, pass (on foot)"
отец,father
час,hour
просто,simply
видеть/увидеть,to see
же,emphasizes preceding word
третий,third
потому/потому что,that is why because
никто,nobody
ждать/подо- (+a or g),to wait (for)
сколько (+g),"how many, how much"
высокий,"high, tall"
лучше,better
получать/получить (+a),"to receive, get"
почти,almost
лес,"wood, forest"
конец,end
нога,leg/foot
собственный,(one’s) own
сто,hundred
художник,artist
четыре,four
пока,while
пока не,until
слушать/по- (+a),to listen to
путь (m),"way, journey"
белый,white
республика,republic
быстро,quickly
куда,where (whither)
главный,main
дети (pl),children
рассказывать/рассказать,"to tell, talk (about)"
совет,advice; council
газета,newspaper
понимать/понять (+a),to understand
пора,"it is time; time, season"
твой,your (familiar)
бывать (i),to be (repeatedly)
находить/найти (+a),to find
песня,song
имя (n),(first) name
партия,party (political)
вечер,evening
опять,again
иметь (i) (+a),to have (with non-concrete object)
между (+inst),between
настоящий,real; present
план,plan
правда,truth
сорок,forty
ходить/с-,to go there and back
ходить/пo-,to walk around
узнавать/узнать (+a),to recognize; find out
поле,field
ночь (f),night
входить/войти,to enter
красный,red
более,more
урок,lesson
нельзя,it is not allowed; it is impossible
тело,body
рядом,alongside
лежать/по-,"to lie, (p) lie for a while"
про (+a),about (=о +pr) (coll)
интересный,interesting
никогда,never
район,region
нужный,necessary
особенно,especially
отвечать/ответить,to answer
начальник,"head, boss"
разный,"various, different"
тридцать,thirty
десять,ten
мир,world; peace
картина,picture
комитет,committee
